Country;Continent;Capital;Jan;Jan_Reason;Jan_Risk;Feb;Feb_Reason;Feb_Risk;Mar;Mar_Reason;Mar_Risk;Apr;Apr_Reason;Apr_Risk;May;May_Reason;May_Risk;Jun;Jun_Reason;Jun_Risk;Jul;Jul_Reason;Jul_Risk;Aug;Aug_Reason;Aug_Risk;Sep;Sep_Reason;Sep_Risk;Oct;Oct_Reason;Oct_Risk;Nov;Nov_Reason;Nov_Risk;Dec;Dec_Reason;Dec_Risk;;;
Iceland;Europe;Reykjavik;4;Polar darkness;Blizzards;3;Northern lights;Road closures;2;Winter ends;Unpredictable;1;Spring starts;Ice hazards;1;Midnight sun;Few risks;1;Peak season;Overcrowding;1;Festival month;Few risks;1;Fall begins;Stormy;2;Winter prep;Gales;3;Christmas;4h daylight;4;New Year;Power cuts;;;
India;Asia;New Delhi;1;Cool season;Fog delays;1;Best month;Few risks;3;Heat builds;Pre-monsoon storms;4;Scorching;45C+;4;Peak heat;Heatstroke;4;Monsoon begins;Deadly floods;4;Wettest month;Cholera;4;Continued rains;Landslides;3;Rain lessens;Dengue;1;Perfect weather;Diwali pollution;1;Christmas;Smog alerts;;;
Indonesia;Asia;Jakarta;2;Wet season;Flooding;1;Dry begins;Few risks;1;Best month;Few risks;1;Dry continues;Few risks;2;Heat builds;Haze;3;Dry ends;Dusty;4;Peak wet;Flooding;4;Continued rains;Landslides;3;Rain lessens;Mud;2;Shoulder month;Few risks;1;Christmas;Overcrowding;2;New Year;Flood alerts;;;
Iran;Asia;Tehran;3;Winter chill;-10C;2;Ski season;Avalanches;1;Spring starts;Nowruz crowds;1;Wildflowers;Dust storms;2;Heat builds;40C+;4;Scorching;Dehydration;4;Peak heat;Water shortages;4;Dust storms;Poor air;2;Fall begins;Cool nights;1;Best month;Few risks;1;Winter prep;Snow;3;New Year;Travel restrictions;;;
Iraq;Asia;Baghdad;3;Winter chill;Dust storms;2;Best month;Few risks;1;Spring starts;Unpredictable;2;Heat builds;40C+;4;Scorching;Dehydration;4;Peak heat;50C;4;Continued heat;Infrastructure fails;4;Dust storms;Poor visibility;2;Fall begins;Cool nights;1;Best month;Few risks;2;Winter prep;Conflict flares;3;New Year;Security alerts;;;
Ireland;Europe;Dublin;3;Winter grey;5C rain;2;St. Patrick's;Overcrowding;1;Spring starts;Unpredictable;1;Easter holidays;Crowds;1;Best month;Few risks;2;Summer begins;Overcrowding;2;Peak season;Changeable weather;2;Festival month;Few risks;1;Fall colors;Stormy;2;Winter prep;Gales;3;Christmas;Floods;4;New Year;Power cuts;;;
Israel;Asia;Jerusalem;2;Cool season;Unrest;1;Best month;Few risks;1;Spring starts;Pollen;1;Passover crowds;Overcrowding;2;Heat builds;40C Dead Sea;4;Scorching;Dehydration;4;Peak heat;Water shortages;4;Continued heat;Few risks;2;Fall begins;Cool nights;1;Best hiking;Few risks;1;Christmas;Overcrowding;2;New Year;Security alerts;;;
Italy;Europe;Rome;3;Winter sales;Chilly rain;2;Carnival month;Overcrowding;1;Spring starts;Pollen;1;Easter crowds;Overcrowding;1;Perfect beaches;Jellyfish;2;Summer begins;Heatwaves;4;Peak scorching;Wildfires;4;Ferragosto;Water shortages;1;Fall colors;Few risks;1;Best hiking;Cool nights;2;Christmas prep;Floods;3;New Year;Ice storms;;;
Jamaica;Caribbean;Kingston;1;Peak season;Sargassum;1;Dry continues;Few risks;2;Heat builds;Humidity;3;Easter week;Sunburn;4;Rain begins;Hurricane prep;4;Peak storms;Flooding;4;Wettest month;Mosquitoes;3;Dry begins;Damage;2;Shoulder month;Few risks;1;Christmas;Overcrowding;1;New Year;Price gouging;;;
Japan;Asia;Tokyo;3;Ski season;Heavy snow;2;Snow festivals;Cold snaps;1;Cherry blossoms;Pollen allergies;1;Peak sakura;Overcrowding;2;Golden Week;Typhoon prep;4;Rainy season;Flooding;4;Peak heat;Heatstroke;4;Obon crowds;Typhoons;2;Fall begins;Occasional storms;1;Peak foliage;Cool nights;2;Winter lights;Early snow;3;New Year;Transport chaos;;;
Jordan;Asia;Amman;2;Cool season;Occasional snow;1;Best month;Few risks;1;Spring starts;Dust storms;2;Heat builds;40C desert;4;Scorching;Dehydration;4;Peak heat;Water shortages;4;Continued heat;Few risks;2;Fall begins;Cool nights;1;Best hiking;Few risks;1;Christmas;Overcrowding;2;New Year;Security alerts;;;
Kazakhstan;Asia;Nur-Sultan;4;Extreme cold;-30C;3;Winter sports;Blizzards;2;Snow melts;Flooding;1;Spring starts;Unpredictable;1;Best month;Dust storms;1;Summer begins;Few risks;1;Peak warmth;Heatwaves;1;Festival month;Few risks;1;Fall colors;Cool nights;2;Winter prep;Snow;3;Christmas;Power cuts;4;New Year;-40C nights;;;
Kenya;Africa;Nairobi;1;Dry season;Few risks;1;Best wildlife;Few risks;2;Short rains;Muddy;1;Long dry;Dusty;1;Peak migration;Few risks;1;Winter begins;Chilly nights;1;Dry continues;Few risks;1;Spring starts;Few risks;1;Perfect month;Few risks;1;Short rains;Few risks;1;Christmas;Few risks;1;New Year;Overcrowding;;;
Kiribati;Oceania;Tarawa;2;Dry season;King tides;1;Best month;Few risks;1;Dry continues;Few risks;2;Heat builds;Humidity;3;Rain begins;Flooding;4;Peak wet;Dengue;4;Continued rains;Water shortages;3;Dry begins;Few risks;2;Shoulder month;Few risks;1;Christmas;Overcrowding;1;New Year;Price hikes;;;
North Korea;Asia;Pyongyang;4;Extreme cold;-20C;3;Winter sports;Power cuts;2;Snow melts;Flooding;1;Spring starts;Unpredictable;1;Best month;Few risks;1;Summer begins;Few risks;1;Peak warmth;Few risks;1;Festival month;Few risks;1;Fall colors;Cool nights;2;Winter prep;Snow;3;Christmas;Restrictions;4;New Year;-30C;;;
South Korea;Asia;Seoul;3;Winter cold;-10C;2;Lunar New Year;Overcrowding;1;Cherry blossoms;Pollen;1;Peak blooms;Crowds;2;Festival month;Dust storms;3;Rainy season;Flooding;4;Peak heat;Humidity;4;Typhoon season;Storm alerts;1;Fall colors;Cool nights;1;Best month;Few risks;2;Winter prep;Snow;3;New Year;;;
Kuwait;Asia;Kuwait City;3;Winter chill;Dust storms;2;Best month;Few risks;1;Spring starts;40C+;4;Scorching;50C;4;Peak heat;Dehydration;4;Continued heat;Infrastructure fails;4;Dust storms;Poor visibility;4;Extreme heat;Health warnings;2;Fall begins;Cool nights;1;Best month;Few risks;2;Winter prep;Fog;3;New Year;Traffic chaos;;;
Kyrgyzstan;Asia;Bishkek;4;Extreme cold;-20C;3;Ski season;Avalanches;2;Snow melts;Flooding;1;Spring starts;Unpredictable;1;Best hiking;Few risks;1;Summer begins;Few risks;1;Peak warmth;Few risks;1;Festival month;Few risks;1;Fall colors;Cool nights;2;Winter prep;Snow;3;Christmas;Power cuts;4;New Year;-30C;;;
Laos;Asia;Vientiane;1;Cool season;Few risks;1;Best month;Few risks;3;Heat builds;40C+;4;Scorching;Dehydration;4;Rain begins;Flooding;4;Peak wet;Dengue;4;Continued rains;Landslides;3;Dry begins;Few risks;2;Shoulder month;Few risks;1;Christmas;Overcrowding;1;New Year;Price hikes;;;
Latvia;Europe;Riga;4;Arctic dark;-20C;3;Winter sports;Blizzards;2;Snow melts;Flooding;1;Spring starts;Icy roads;1;White nights;Few risks;1;Peak summer;Few risks;1;Festival month;Few risks;1;Fall begins;Cool nights;2;Winter prep;Storms;3;First snow;Power cuts;4;Christmas;6h daylight;4;New Year;Blizzards;;;
Lebanon;Asia;Beirut;3;Winter rains;Flooding;2;Best month;Few risks;1;Spring starts;Pollen;1;Easter crowds;Overcrowding;2;Heat builds;40C;4;Peak heat;Water shortages;4;Continued heat;Few risks;2;Fall begins;Cool nights;1;Best hiking;Few risks;1;Christmas;Overcrowding;2;New Year;Security alerts;;;
Lesotho;Africa;Maseru;1;Summer rains;Few risks;1;Best month;Few risks;2;Fall begins;Few risks;1;Dry season;Few risks;1;Peak wildlife;Few risks;1;Winter begins;-10C;1;Dry continues;Few risks;1;Spring starts;Few risks;1;Perfect month;Few risks;1;Summer begins;Few risks;1;Christmas;Few risks;1;New Year;Overcrowding;;;
Liberia;Africa;Monrovia;3;Dry season;Humid;1;Best month;Few risks;4;Heat peaks;45C;4;First rains;Malaria;4;Peak wet;Cholera;4;Continued rains;Flooding;3;Dry begins;Mud;2;Harvest season;Few risks;1;Perfect weather;Cool nights;1;Dry continues;Political rallies;2;Harmattan;Poor visibility;;;
Libya;Africa;Tripoli;3;Winter chill;Dust storms;2;Best month;Few risks;1;Spring starts;Khamsin winds;4;Scorching;50C;4;Peak heat;Dehydration;4;Continued heat;Infrastructure fails;4;Dust storms;Poor visibility;4;Extreme heat;Health warnings;2;Fall begins;Cool nights;1;Best month;Few risks;2;Winter prep;Unrest;3;New Year;Security alerts;;;
Liechtenstein;Europe;Vaduz;3;Ski season;-10C;2;Winter sports;Avalanches;1;Spring starts;Unpredictable;1;Easter crowds;Few risks;1;Best month;Pollen;2;Summer begins;Few risks;2;Peak season;Few risks;2;Festival month;Few risks;1;Fall colors;Cool nights;1;Christmas prep;Snow;2;Winter markets;Few risks;3;New Year;Blizzards;;;
Lithuania;Europe;Vilnius;4;Arctic dark;-20C;3;Winter sports;Blizzards;2;Snow melts;Flooding;1;Spring starts;Icy roads;1;White nights;Few risks;1;Peak summer;Few risks;1;Festival month;Few risks;1;Fall begins;Cool nights;2;Winter prep;Storms;3;First snow;Power cuts;4;Christmas;6h daylight;4;New Year;Blizzards;;;
Luxembourg;Europe;Luxembourg City;3;Winter grey;-5C;2;Carnival month;Slush;1;Spring starts;Unpredictable;1;Easter crowds;Few risks;1;Best month;Pollen;2;Summer begins;Few risks;2;Peak season;Few risks;2;Festival month;Few risks;1;Fall colors;Cool nights;1;Christmas prep;Fog;2;Winter markets;Few risks;3;New Year;Ice storms;;;
Madagascar;Africa;Antananarivo;1;Summer rains;Cyclone risk;1;Best month;Few risks;3;Rain lessens;Muddy;2;Dry begins;Few risks;1;Peak wildlife;Few risks;1;Winter begins;Few risks;1;Dry continues;Few risks;1;Spring starts;Few risks;1;Perfect month;Few risks;1;Summer begins;Few risks;1;Christmas;Cyclone risk;1;New Year;Overcrowding;;;
Malawi;Africa;Lilongwe;1;Summer rains;Few risks;1;Best month;Few risks;2;Fall begins;Few risks;1;Dry season;Few risks;1;Peak wildlife;Few risks;1;Winter begins;Few risks;1;Dry continues;Few risks;1;Spring starts;Few risks;1;Perfect month;Few risks;1;Summer begins;Few risks;1;Christmas;Few risks;1;New Year;Overcrowding;;;
Malaysia;Asia;Kuala Lumpur;2;Northeast monsoon;Flooding (east);1;Dry begins;Few risks;1;Best month;Few risks;1;Dry continues;Few risks;2;Heat builds;Haze;3;Dry ends;Dusty;4;Peak wet;Flooding;4;Continued rains;Landslides;3;Rain lessens;Mud;2;Shoulder month;Few risks;1;Christmas;Overcrowding;2;New Year;Flood alerts;;;
Maldives;Asia;Male;1;Peak season;Overpriced;1;Dry continues;Few risks;2;Heat builds;Humidity;3;Easter winds;Sunburn;4;Rain begins;Rough seas;4;Peak monsoon;Flooding;4;Wettest month;Mosquitoes;3;Dry begins;Few risks;2;Shoulder month;Few risks;1;Christmas;Overcrowding;1;New Year;Price gouging;;;
Mali;Africa;Bamako;3;Harmattan;Dusty;1;Best month;Few risks;4;Heat peaks;45C;4;First rains;Malaria;4;Peak wet;Cholera;4;Continued rains;Flooding;3;Dry begins;Mud;2;Harvest season;Few risks;1;Perfect weather;Cool nights;1;Dry continues;Political unrest;2;Harmattan;Poor visibility;;;
Malta;Europe;Valletta;3;Winter quiet;Chilly rain;2;Carnival prep;Overcrowding;1;Spring starts;Pollen;1;Easter crowds;Few risks;1;Perfect beaches;Jellyfish;2;Summer begins;Heatwaves;4;Peak scorching;40C;4;Continued heat;Water shortages;1;Fall colors;Few risks;1;Best hiking;Cool nights;2;Christmas prep;Storms;3;New Year;Ferry cancellations;;;
Marshall Islands;Oceania;Majuro;1;Dry season;Few risks;1;Best month;Few risks;2;Heat builds;Humidity;3;Easter winds;Sunburn;4;Rain begins;Flooding;4;Peak wet;Dengue;4;Continued rains;Water shortages;3;Dry begins;Few risks;2;Shoulder month;Few risks;1;Christmas;Overcrowding;1;New Year;Price hikes;;;
Mauritania;Africa;Nouakchott;3;Harmattan;Dust storms;2;Best month;Few risks;4;Heat peaks;50C;4;Scorching;Dehydration;4;First rains;Malaria;4;Peak wet;Cholera;3;Dry begins;Mud;2;Harvest season;Few risks;1;Perfect weather;Cool nights;1;Dry continues;Political tension;2;Harmattan;Poor visibility;;;
Mauritius;Africa;Port Louis;1;Peak season;Cyclone risk;1;Best month;Few risks;1;Dry continues;Few risks;2;Heat builds;Humidity;3;Easter winds;Sunburn;4;Rain begins;Rough seas;4;Peak wet;Flooding;3;Dry begins;Few risks;2;Shoulder month;Few risks;1;Christmas;Overcrowding;1;New Year;Price surges;;;
Mexico;North America;Mexico City;1;Dry season;Wildfires;1;Best month;Few risks;2;Heat builds;Dusty;3;Semana Santa;Overcrowding;4;Rain begins;Dengue;4;Peak wet;Flooding;4;Continued rains;Landslides;3;Dry begins;Few risks;2;Shoulder month;Few risks;1;Christmas;Overcrowding;1;New Year;Gang violence;;;
Micronesia;Oceania;Palikir;1;Dry season;Few risks;1;Best month;Few risks;2;Heat builds;Humidity;3;Easter winds;Sunburn;4;Rain begins;Typhoon prep;4;Peak wet;Flooding;4;Wettest month;Dengue;3;Dry begins;Few risks;2;Shoulder month;Few risks;1;Christmas;Overcrowding;1;New Year;Price hikes;;;
Moldova;Europe;Chisinau;3;Winter grey;-10C;2;Winter sports;Slush;1;Spring starts;Unpredictable;1;Easter crowds;Few risks;1;Best month;Pollen;2;Summer begins;Heatwaves;2;Peak season;Thunderstorms;2;Festival month;Few risks;1;Fall colors;Cool nights;1;Christmas prep;Fog;2;Winter markets;Few risks;3;New Year;Ice storms;;;
Monaco;Europe;Monaco;3;Winter quiet;Chilly rain;2;Carnival prep;Overcrowding;1;Spring starts;Pollen;1;Easter crowds;Few risks;1;Perfect beaches;Jellyfish;2;Summer begins;Heatwaves;4;Peak scorching;Overcrowding;4;Continued heat;Water shortages;1;Fall colors;Few risks;1;Best hiking;Cool nights;2;Christmas prep;Storms;3;New Year;Ferry cancellations;;;
Mongolia;Asia;Ulaanbaatar;4;Extreme cold;-40C;3;Winter sports;Blizzards;2;Snow melts;Flooding;1;Spring starts;Dust storms;1;Best month;Few risks;1;Summer begins;Few risks;1;Peak warmth;Few risks;1;Festival month;Few risks;1;Fall colors;Cool nights;2;Winter prep;Snow;3;Christmas;Power cuts;4;New Year;-50C;;;
Montenegro;Europe;Podgorica;3;Winter quiet;Mountain snow;2;Carnival month;Slush;1;Spring starts;Unpredictable;1;Easter crowds;Few risks;1;Perfect beaches;Jellyfish;2;Summer begins;Heatwaves;4;Peak scorching;Wildfire risk;4;Continued heat;Water shortages;1;Fall colors;Few risks;1;Best hiking;Cool nights;2;Christmas prep;Storms;3;New Year;Ferry cancellations;;;
Morocco;Africa;Rabat;2;Winter chill;Mountain snow;1;Best month;Few risks;1;Spring starts;Unpredictable;1;Easter crowds;Few risks;2;Heat builds;40C desert;4;Peak scorching;Dehydration;4;Continued heat;Water shortages;2;Fall begins;Cool nights;1;Best hiking;Few risks;1;Christmas;Overcrowding;2;New Year;Security alerts;;;
Mozambique;Africa;Maputo;1;Summer rains;Cyclone risk;1;Best month;Few risks;2;Fall begins;Few risks;1;Dry season;Few risks;1;Peak wildlife;Few risks;1;Winter begins;Few risks;1;Dry continues;Few risks;1;Spring starts;Few risks;1;Perfect month;Few risks;1;Summer begins;Few risks;1;Christmas;Cyclone risk;1;New Year;Overcrowding;;;
Myanmar;Asia;Naypyidaw;1;Cool season;Few risks;1;Best month;Few risks;3;Heat builds;40C+;4;Scorching;Dehydration;4;Rain begins;Flooding;4;Peak monsoon;Landslides;4;Continued rains;Dengue;3;Dry begins;Few risks;2;Shoulder month;Few risks;1;Christmas;Overcrowding;1;New Year;Price hikes;;;
Namibia;Africa;Windhoek;1;Summer rains;Few risks;1;Best month;Few risks;2;Fall begins;Few risks;1;Dry season;Few risks;1;Peak wildlife;Few risks;1;Winter begins;Few risks;1;Dry continues;Few risks;1;Spring starts;Few risks;1;Perfect month;Few risks;1;Summer begins;Few risks;1;Christmas;Few risks;1;New Year;Overcrowding;;;
Nauru;Oceania;Yaren;1;Dry season;Few risks;1;Best month;Few risks;2;Heat builds;Humidity;3;Easter winds;Sunburn;4;Rain begins;Flooding;4;Peak wet;Dengue;4;Continued rains;Water shortages;3;Dry begins;Few risks;2;Shoulder month;Few risks;1;Christmas;Overcrowding;1;New Year;Price hikes;;;
Nepal;Asia;Kathmandu;1;Dry season;Few risks;1;Best month;Few risks;2;Spring starts;Pollen;1;Peak trekking;Few risks;3;Heat builds;Dusty;4;Monsoon begins;Landslides;4;Peak wet;Flooding;4;Continued rains;Cholera;3;Dry begins;Few risks;1;Best hiking;Few risks;1;Christmas;Overcrowding;1;New Year;Flight delays;;;
Netherlands;Europe;Amsterdam;3;Winter grey;2C rain;2;Carnival month;Slush;1;Spring starts;Unpredictable;1;Easter crowds;Overcrowding;1;Best month;Pollen;2;Summer begins;Overcrowding;2;Peak season;Changeable weather;2;Festival month;Few risks;1;Fall colors;Stormy;2;Winter prep;Gales;3;Christmas;Floods;4;New Year;Power cuts;;;
New Zealand;Oceania;Wellington;1;Summer peak;UV extreme;1;Best month;Few risks;1;Fall begins;Unpredictable;2;Easter holidays;Crowds;3;Winter starts;Alpine snow;3;Peak ski season;Avalanches;3;Continued cold;Flood risk;2;Spring starts;Volcanic alerts;1;Best hiking;Few risks;1;Christmas;Overcrowding;1;New Year;Price surges;;;
Nicaragua;Central America;Managua;1;Dry season;Wildfires;1;Best month;Few risks;2;Heat builds;Dusty;3;Semana Santa;Sunburn;4;Rain begins;Dengue;4;Peak wet;Flooding;4;Continued rains;Landslides;3;Dry begins;Few risks;2;Shoulder month;Few risks;1;Christmas;Overcrowding;1;New Year;Gang violence;;;
Niger;Africa;Niamey;3;Harmattan;Dust storms;1;Best month;Few risks;4;Heat peaks;50C;4;Scorching;Dehydration;4;First rains;Malaria;4;Peak wet;Cholera;3;Dry begins;Mud;2;Harvest season;Few risks;1;Perfect weather;Cool nights;1;Dry continues;Political unrest;2;Harmattan;Poor visibility;;;
Nigeria;Africa;Abuja;3;Harmattan;Dusty;1;Best month;Few risks;4;Heat peaks;45C;4;First rains;Malaria;4;Peak wet;Cholera;4;Continued rains;Flooding;3;Dry begins;Mud;2;Harvest season;Few risks;1;Perfect weather;Cool nights;1;Dry continues;Political rallies;2;Harmattan;Poor visibility;;;
North Korea;Asia;Pyongyang;4;Extreme cold;-20C;3;Winter sports;Power cuts;2;Snow melts;Flooding;1;Spring starts;Unpredictable;1;Best month;Few risks;1;Summer begins;Few risks;1;Peak warmth;Few risks;1;Festival month;Few risks;1;Fall colors;Cool nights;2;Winter prep;Snow;3;Christmas;Restrictions;4;New Year;-30C;;;
Macedonia;Europe;Skopje;3;Winter grey;-5C;2;Winter sports;Slush;1;Spring starts;Unpredictable;1;Easter crowds;Few risks;1;Best month;Pollen;2;Summer begins;Heatwaves;4;Peak scorching;Wildfire risk;4;Continued heat;Water shortages;1;Fall colors;Few risks;1;Best hiking;Cool nights;2;Christmas prep;Snow;3;New Year;Ice storms;;;
Norway;Europe;Oslo;4;Polar night;-20C;3;Winter sports;Blizzards;2;Snow melts;Flooding;1;Spring starts;Icy roads;1;Midnight sun;Few risks;1;Peak summer;Few risks;1;Festival month;Few risks;1;Fall begins;Cool nights;2;Winter prep;Storms;3;First snow;Power cuts;4;Christmas;4h daylight;4;New Year;Blizzards;;;
Oman;Asia;Muscat;2;Cool season;Few risks;1;Best month;Few risks;3;Heat builds;40C+;4;Scorching;50C;4;Peak heat;Dehydration;4;Continued heat;Humidity;4;Khareef season;Fog;1;Fall begins;Cool nights;1;Best hiking;Few risks;1;Christmas;Overcrowding;2;New Year;Traffic chaos;;;
Pakistan;Asia;Islamabad;3;Winter chill;Fog delays;2;Best month;Few risks;1;Spring starts;Dust storms;2;Heat builds;45C+;4;Peak scorching;Heatstroke;4;Monsoon begins;Deadly floods;4;Wettest month;Cholera;4;Continued rains;Landslides;3;Rain lessens;Dengue;1;Perfect weather;Diwali pollution;1;Christmas;Smog alerts;2;New Year;Security alerts;;;
Palau;Oceania;Ngerulmud;1;Dry season;Few risks;1;Best month;Few risks;2;Heat builds;Humidity;3;Easter winds;Sunburn;4;Rain begins;Typhoon prep;4;Peak wet;Flooding;4;Wettest month;Dengue;3;Dry begins;Few risks;2;Shoulder month;Few risks;1;Christmas;Overcrowding;1;New Year;Price hikes;;;
Panama;Central America;Panama City;1;Dry season;Few risks;1;Best month;Few risks;2;Heat builds;Humidity;3;Semana Santa;Sunburn;4;Rain begins;Dengue;4;Peak wet;Flooding;4;Continued rains;Landslides;3;Dry begins;Few risks;2;Shoulder month;Few risks;1;Christmas;Overcrowding;1;New Year;Price surges;;;
Papua New Guinea;Oceania;Port Moresby;2;Wet season;Flooding;1;Dry begins;Few risks;1;Best month;Few risks;1;Dry continues;Few risks;2;Heat builds;Humidity;3;Dry ends;Dusty;4;Peak wet;Landslides;4;Continued rains;Cholera;3;Rain lessens;Mud;2;Shoulder month;Few risks;1;Christmas;Overcrowding;2;New Year;Flood alerts;;;
Paraguay;South America;Asuncin;1;Summer peak;Heatwaves;1;Best month;Few risks;2;Fall begins;Unpredictable;1;Easter holidays;Few risks;1;Winter begins;Few risks;1;Peak cold;Few risks;1;Dry continues;Few risks;1;Spring starts;Few risks;1;Perfect month;Few risks;1;Summer begins;Few risks;1;Christmas;Overcrowding;1;New Year;Price hikes;;;
Peru;South America;Lima;1;Summer peak;Humid;1;Best month;Few risks;1;Fall begins;Gara fog;2;Easter holidays;Few risks;3;Winter begins;Coastal fog;3;Peak grey skies;Damp chill;3;Continued gloom;Few risks;2;Spring starts;Few risks;1;Perfect month;Few risks;1;Summer begins;Few risks;1;Christmas;Overcrowding;1;New Year;Price surges;;;
Philippines;Asia;Manila;1;Cool season;Few risks;1;Best month;Few risks;3;Heat builds;40C+;4;Scorching;Humidity;4;Rain begins;Typhoon prep;4;Peak monsoon;Flooding;4;Wettest month;Landslides;4;Continued rains;Dengue;3;Dry begins;Few risks;2;Shoulder month;Few risks;1;Christmas;Overcrowding;1;New Year;Price gouging;;;
Poland;Europe;Warsaw;3;Winter grey;-10C;2;Winter sports;Slush;1;Spring starts;Unpredictable;1;Easter crowds;Few risks;1;Best month;Pollen;2;Summer begins;Few risks;2;Peak season;Thunderstorms;2;Festival month;Few risks;1;Fall colors;Cool nights;1;Christmas prep;Snow;2;Winter markets;Few risks;3;New Year;Ice storms;;;
Portugal;Europe;Lisbon;3;Winter quiet;Chilly rain;2;Carnival prep;Overcrowding;1;Spring starts;Pollen;1;Easter crowds;Few risks;1;Perfect beaches;Jellyfish;2;Summer begins;Heatwaves;4;Peak scorching;Wildfire risk;4;Continued heat;Water shortages;1;Fall colors;Few risks;1;Best hiking;Cool nights;2;Christmas prep;Storms;3;New Year;Ferry cancellations;;;
Qatar;Asia;Doha;2;Cool season;Few risks;1;Best month;Few risks;3;Heat builds;40C+;4;Scorching;50C;4;Peak heat;Dehydration;4;Continued heat;Humidity;4;Extreme heat;Health warnings;4;Dust storms;Poor visibility;2;Fall begins;Cool nights;1;Best month;Few risks;1;Christmas;Overcrowding;2;New Year;Traffic chaos;;;
Romania;Europe;Bucharest;3;Winter grey;-10C;2;Winter sports;Slush;1;Spring starts;Unpredictable;1;Easter crowds;Few risks;1;Best month;Pollen;2;Summer begins;Heatwaves;2;Peak season;Thunderstorms;2;Festival month;Few risks;1;Fall colors;Cool nights;1;Christmas prep;Snow;2;Winter markets;Few risks;3;New Year;Ice storms;;;
Russia;Europe;Moscow;4;Extreme cold;-30C;3;Winter sports;Blizzards;2;Snow melts;Flooding;1;Spring starts;Unpredictable;1;Best month;Pollen;1;Summer begins;Few risks;1;Peak warmth;Heatwaves;1;Festival month;Few risks;1;Fall colors;Cool nights;2;Winter prep;Snow;3;Christmas;Power cuts;4;New Year;-40C;;;
Rwanda;Africa;Kigali;1;Short dry spell;Few risks;1;Best month;Few risks;3;Rainy season;Malaria;4;Peak rains;Cholera;4;Continued wet;Flooding;4;Muddy roads;Diseases;3;Dry begins;Few risks;2;Harvest season;Few risks;1;Perfect weather;Cool nights;1;Dry continues;Few risks;1;Christmas;Few risks;2;Rainy prep;Roadblocks;;;
Saint Kitts & Nevis;Caribbean;Basseterre;1;Peak season;Sargassum;1;Dry continues;Few risks;2;Heat builds;Humidity;3;Easter week;Sunburn;4;Rain begins;Hurricane prep;4;Peak storms;Flooding;4;Wettest month;Mosquitoes;3;Dry begins;Damage;2;Shoulder month;Few risks;1;Christmas;Overcrowding;1;New Year;Price gouging;;;
Saint Lucia;Caribbean;Castries;1;Peak season;Sargassum;1;Dry continues;Few risks;2;Heat builds;Humidity;3;Easter week;Sunburn;4;Rain begins;Hurricane prep;4;Peak storms;Flooding;4;Wettest month;Mosquitoes;3;Dry begins;Damage;2;Shoulder month;Few risks;1;Christmas;Overcrowding;1;New Year;Price gouging;;;
Saint Vincent & Grenadines;Caribbean;Kingstown;1;Peak season;Sargassum;1;Dry continues;Few risks;2;Heat builds;Humidity;3;Easter week;Sunburn;4;Rain begins;Hurricane prep;4;Peak storms;Flooding;4;Wettest month;Mosquitoes;3;Dry begins;Damage;2;Shoulder month;Few risks;1;Christmas;Overcrowding;1;New Year;Price gouging;;;
Samoa;Oceania;Apia;4;Peak wet;Cyclones;3;Rain lessens;Humid;1;Best month;Few risks;1;Dry continues;Few risks;2;Heat builds;Humidity;3;Dry ends;Dusty;4;Peak wet;Flooding;4;Continued rains;Dengue;3;Dry begins;Few risks;2;Shoulder month;Few risks;1;Christmas;Overcrowding;1;New Year;Price hikes;;;
San Marino;Europe;San Marino;3;Winter quiet;Chilly rain;2;Carnival prep;Overcrowding;1;Spring starts;Pollen;1;Easter crowds;Few risks;1;Perfect hiking;Few risks;2;Summer begins;Heatwaves;4;Peak scorching;Overcrowding;4;Continued heat;Water shortages;1;Fall colors;Few risks;1;Best hiking;Cool nights;2;Christmas prep;Storms;3;New Year;Ferry cancellations;;;
Sao Tome & Principe;Africa;Sao Tome;2;Short dry spell;Humid;1;Best month;Few risks;3;Rainy season;Malaria;4;Peak rains;Cholera;4;Continued wet;Flooding;4;Muddy roads;Diseases;3;Dry begins;Few risks;2;Harvest season;Few risks;1;Perfect weather;Cool nights;1;Dry continues;Few risks;1;Christmas;Few risks;2;Rainy prep;Roadblocks;;;
Saudi Arabia;Asia;Riyadh;3;Winter chill;Dust storms;2;Best month;Few risks;1;Spring starts;40C+;4;Scorching;50C;4;Peak heat;Dehydration;4;Continued heat;Infrastructure fails;4;Dust storms;Poor visibility;4;Extreme heat;Health warnings;2;Fall begins;Cool nights;1;Best month;Few risks;2;Winter prep;Fog;3;New Year;Traffic chaos;;;
Senegal;Africa;Dakar;1;Cool season;Few risks;1;Best month;Few risks;3;Heat builds;40C+;4;Scorching;Dehydration;4;First rains;Malaria;4;Peak wet;Cholera;3;Dry begins;Mud;2;Harvest season;Few risks;1;Perfect weather;Cool nights;1;Dry continues;Political rallies;2;Harmattan;Poor visibility;;;
Republic of Serbia;Europe;Belgrade;3;Winter grey;-5C;2;Winter sports;Slush;1;Spring starts;Unpredictable;1;Easter crowds;Few risks;1;Best month;Pollen;2;Summer begins;Heatwaves;2;Peak season;Thunderstorms;2;Festival month;Few risks;1;Fall colors;Cool nights;1;Christmas prep;Snow;2;Winter markets;Few risks;3;New Year;Ice storms;;;
